Franchise,Films,Mean [$],Total [$]
... Has Fallen,2,183390044.0,366780087.0
00 Schneider Filmreihe,1,0.0,0.0
08/15,1,0.0,0.0
100 Girls,2,0.0,0.0
101 Dalmatians (Animated),2,107940007.0,215880014.0
101 Dalmatians (Live-Action),2,252150532.0,504301065.0
12 Rounds,3,5760109.0,17280326.0
1920,2,0.0,0.0
2 Days In...,2,10714976.0,21429951.0
2001 Maniacs,1,0.0,0.0
20th Century Boys,3,10414953.0,31244858.0
28 Days/Weeks Later,2,73479162.0,146958325.0
3 Men (Original),1,2052466.0,2052466.0
3 Men,2,0.0,0.0
3 Ninjas,4,0.0,0.0
30 Days of Night,2,37752986.0,75505973.0
300,2,380095235.0,760190470.0
48 Hrs.,2,116193741.0,232387482.0
8MM,2,48309350.0,96618699.0
976-EVIL,2,1477958.0,2955917.0
9½ Weeks,2,3367961.0,6735922.0
A Better Tomorrow,3,1489820.0,4469460.0
A Chinese Ghost Story,3,0.0,0.0
A Christmas Story,2,9647072.0,19294144.0
A Few Best Men,2,14565656.0,29131311.0
A Golden Christmas,3,0.0,0.0
A Goofy Movie,2,17674298.0,35348597.0
A Haunted House,2,30070842.0,60141683.0
A Man Called Horse,2,0.0,0.0
A Nightmare on Elm Street,8,45448945.0,363591558.0
ABCD,1,222000.0,222000.0
AVP,2,106490464.0,212980929.0
Aashiqui,1,16000000.0,16000000.0
Ace Ventura,3,106534310.0,319602929.0
Aces Go Places,1,0.0,0.0
Action Pack Bandit Films,1,0.0,0.0
Ada Apa Dengan Cinta?,1,0.0,0.0
Addams Family,3,80140490.0,240421469.0
Adventures of Mowgli,2,0.0,0.0
Adventures of a ...,1,0.0,0.0
Afro Samurai,2,0.0,0.0
Agent Cody Banks,2,43807404.0,87614809.0
Air Bud,5,6673723.0,33368615.0
Airplane,2,55302036.0,110604073.0
Airport,4,47626210.0,190504839.0
Aki Kaurismäki's Finland trilogy,3,538339.0,1615018.0
Aladdin,3,168016740.0,504050219.0
Alan Davies,1,0.0,0.0
Alex Cross,3,65353222.0,196059666.0
Alice in Wonderland,2,662430597.0,1324861194.0
Alien,4,152505450.0,610021801.0
Alien Nation,6,5359174.0,32155047.0
Alienation Trilogy,3,0.0,0.0
All Dogs Go to Heaven,3,11906902.0,35720705.0
All Hallow's Eve,1,0.0,0.0
All Stars Collectie,2,0.0,0.0
All for ...,1,0.0,0.0
"All inclusive, или все включено (Коллекция)",2,0.0,0.0
All of My Heart,1,0.0,0.0
Allan Quatermain (1950 series),1,0.0,0.0
Allan Quatermain,2,119114.0,238227.0
Alligator,2,0.0,0.0
Almighty,2,328786418.0,657572835.0
Alone in the Dark,2,5221404.0,10442808.0
Alpha and Omega,3,13100000.0,39300000.0
Alvin and the Chipmunks,4,345239406.0,1380957626.0
Always: Sunset on Third Street,1,33053559.0,33053559.0
American Addict,1,0.0,0.0
American Graffiti,2,77507337.0,155014674.0
American Ninja,5,2099939.0,10499694.0
American Pie (Spin-off),4,0.0,0.0
American Pie,4,247368846.0,989475386.0
American Psycho,2,17133282.0,34266564.0
An American Girl,10,0.0,0.0
Anaconda,4,51969666.0,207878665.0
Analyze,2,115944396.0,231888793.0
Anatomy,1,0.0,0.0
Anche gli angeli - Collezione,2,0.0,0.0
Anchorman,3,88074401.0,264223203.0
Anders Matthesen,3,0.0,0.0
Angelique,1,0.0,0.0
Anglo-Zulu War,2,4000000.0,8000000.0
Animation Runner Kuromi (OAV collection),2,0.0,0.0
Aniskin,1,0.0,0.0
Anja & Viktor,1,0.0,0.0
Annabelle,1,255273813.0,255273813.0
Anne of Green Gables,3,0.0,0.0
Annie,2,28529502.0,57059003.0
Annika Bengtzon,3,0.0,0.0
Another Gay Movie,2,372664.0,745327.0
Ant-Man,1,519311965.0,519311965.0
Antboy,2,0.0,0.0
Ants in the Pants,2,0.0,0.0
Apocalypse,1,0.0,0.0
Appleseed,3,487330.0,1461989.0
Arabian Nights,1,0.0,0.0
Argo,1,0.0,0.0
Armitage III,1,0.0,0.0
Armour of God,3,0.0,0.0
Arn collection,2,0.0,0.0
Art of the Devil,1,0.0,0.0
Arthur,2,55071437.0,110142874.0
Arthur and the Invisibles,3,35981412.0,107944236.0
Assassination Classroom,1,0.0,0.0
Asterix and Obelix (Animation),9,0.0,0.0
Asterix and Obelix,4,61417903.0,245671613.0
Atlantis,2,93026862.0,186053725.0
Atlas Shrugged,4,1368520.0,5474079.0
Ator,4,0.0,0.0
Attack on Titan,2,0.0,0.0
Aurélie Laflamme,1,0.0,0.0
Austin Powers,3,225093169.0,675279506.0
Avatar,2,1393982544.0,2787965087.0
Azumi,2,0.0,0.0
Babe,2,161633385.0,323266770.0
Baby Burlesks,2,0.0,0.0
Babylon 5,7,0.0,0.0
Babysitting,2,0.0,0.0
Bachelor Party,2,19217974.0,38435947.0
Back to the Future,3,319212448.0,957637345.0
Bad Ass,3,0.0,0.0
Bad Boys,3,138248860.0,414746580.0
Bad Kids,2,0.0,0.0
Bad Santa,2,47135534.0,94271067.0
Bahubali,2,165000000.0,330000000.0
Balto,3,3782775.0,11348324.0
Bambi,2,133723575.0,267447150.0
Bananas!*,2,0.0,0.0
Bang Rajan,1,0.0,0.0
Barbarian Queen,2,0.0,0.0
Barbershop,3,65294035.0,195882105.0
Barbie A Mermaid Tale,2,15965372.0,31930745.0
Barbie Fairytopia,3,0.0,0.0
Barbie Mariposa,2,0.0,0.0
Barefoot Gen,2,0.0,0.0
Barney,1,0.0,0.0
Barrytown Trilogy,3,0.0,0.0
Basic Instinct,2,195778351.0,391556702.0
Basket Case,3,0.0,0.0
Batman (DC Universe Animated),3,1872464.0,5617391.0
Batman Beyond,2,0.0,0.0
Batman,4,316521298.0,1266085190.0
Batman Unlimited,3,0.0,0.0
Batman: The Dark Knight Returns,2,0.0,0.0
Bats,1,10.0,10.0
Battle Royale,2,12500000.0,25000000.0
Battlestar Galactica (Reboot),2,0.0,0.0
Beach Party,6,0.0,0.0
Beastmaster,2,7462926.0,14925853.0
Beauty and the Beast,2,188675276.0,377350553.0
Beck - Historien om ett brott,1,0.0,0.0
Beck,5,0.0,0.0
Beethoven,7,37922445.0,265457115.0
Before...,3,10901496.0,32704489.0
Begotten,1,0.0,0.0
Behind Enemy Lines,4,22938300.0,91753202.0
Belle et Sébastien,2,0.0,0.0
Benvenuti al...,2,50292340.0,100584679.0
Berserk: Golden Age Arc,3,0.0,0.0
Best Exotic Marigold Hotel,2,111407211.0,222814422.0
Best of the Best,2,3250000.0,6500000.0
Beverly Hills Chihuahua,3,53760535.0,161281606.0
Beverly Hills Cop,3,245178168.0,735534503.0
Bhoothnath,2,0.0,0.0
Big Man,2,0.0,0.0
Big Momma's House,3,131944638.0,395833914.0
Bikini Summer,3,0.0,0.0
Bill & Ted's Most Excellent,2,20242520.0,40485039.0
Billa,2,0.0,0.0
Billy Jack,4,9000000.0,36000000.0
Bionicle,4,0.0,0.0
Birdemic,2,0.0,0.0
Black & White,1,0.0,0.0
Black Emanuelle,7,0.0,0.0
Black Magic,1,0.0,0.0
Black Scorpion,3,0.0,0.0
Blacula,2,0.0,0.0
Blade,3,138366309.0,415098928.0
Blade Runner,1,33139618.0,33139618.0
Blair Witch,3,97724331.0,293172994.0
Bleach (Collection),2,0.0,0.0
Blondie,5,0.0,0.0
Blood Island (Hammer series),1,0.0,0.0
BloodRayne,3,801807.0,2405420.0
Bloodfight,1,0.0,0.0
Bloodfist,1,0.0,0.0
Bloodsport,4,3122618.0,12490470.0
Blue Collar Comedy Tour,2,302428.0,604856.0
Blue Crush,2,25921340.0,51842679.0
Bon Cop Bad Cop,2,6335650.0,12671300.0
Born Free Trilogy,2,0.0,0.0
Born To Race,2,0.0,0.0
Borsalino,2,2.0,3.0
Boston Blackie Series,1,0.0,0.0
Boys Love,2,0.0,0.0
Brancaleone,2,657115.0,1314230.0
Break Blade,6,0.0,0.0
Breakin',2,0.0,0.0
Brice,2,0.0,0.0
Bridget Jones,3,178028412.0,534085235.0
Bring It On,5,18089986.0,90449929.0
Brooklyn Cigar Store,2,4812215.0,9624430.0
Brother Bear,2,0.0,0.0
Brother,2,0.0,0.0
Bulldog Drummond (Richard Johnson),2,0.0,0.0
Bullit & Riper,2,0.0,0.0
Bummer,2,800000.0,1600000.0
Burnout,2,0.0,0.0
Burnt by the Sun Trilogy,2,1308252.0,2616503.0
C.H.U.D.,2,1706248.0,3412497.0
Caballeros,2,0.0,0.0
Cabin By The Lake,1,0.0,0.0
Caddyshack,2,19923172.0,39846344.0
Calcutta Trilogy,2,0.0,0.0
Camp Rock,2,0.0,0.0
Caméra Café,1,0.0,0.0
Candyman,3,13244231.0,39732693.0
Cannonball Run,3,34445004.0,103335013.0
Caprinos Eventyrlige Verden,1,0.0,0.0
Caprona,4,0.0,0.0
Captain America 1979 Classic,2,0.0,0.0
Captain America,3,746213614.0,2238640841.0
Captain Harlock,2,8568651.0,17137302.0
Cardcaptor Sakura,2,0.0,0.0
Care Bears,3,869333.0,2608000.0
Carmina - Colección,2,0.0,0.0
Carnosaur,3,584660.0,1753979.0
Carrie,2,25781352.0,51562705.0
Cars,3,457335201.0,1372005602.0
Casper,4,71982048.0,287928194.0
Cat People,2,2000000.0,4000000.0
Cat Run,2,0.0,0.0
Cat Stevens y Hutch Bessy Trilogy,3,0.0,0.0
Cats & Dogs,2,102929458.0,205858915.0
Center Stage,3,5733642.0,17200925.0
Cetto La Qualunque - Collezione,2,4463800.0,8927600.0
Chaar Sahibzaade,1,0.0,0.0
Charlie Chan (Roland Winters),3,0.0,0.0
Charlie Chan (Sidney Toler),21,0.0,0.0
Charlie Chan (Warner Oland),15,0.0,0.0
Charlie's Angels,2,261640666.0,523281333.0
