Importance,Feature
0.38890225,Drama
0.068729155,foreign_language
0.06556027,runtimeMinutes
0.06535166,numVotes
0.05218913,Horror
0.047826663,Biography
0.04057044,budget
0.035115406,Animation
0.027997632,Comedy
0.020134304,Documentary
0.019833138,Action
0.015780685,Sci-Fi
0.014680292,Fantasy
0.013201441,Crime
0.0126238,Romance
0.011822578,Mystery
0.010918503,History
0.010436747,directors
0.009778626,Adventure
0.009675608,Western
0.009617745,Family
0.009345325,War
0.009180812,Music
0.009025235,return
0.008623894,writers
0.0070888004,Thriller
0.0059898943,Musical
