Importance,Feature
0.118337855,budget
0.11360863,numVotes
0.10762888,Horror
0.07894286,Drama
0.054719456,Mystery
0.049581226,averageRating
0.04346557,foreign_language
0.04021726,writers
0.037037082,Crime
0.032157123,Family
0.03187157,Comedy
0.030072542,runtimeMinutes
0.029982492,Thriller
0.02834563,Sci-Fi
0.027700774,Action
0.026790682,Romance
0.026592921,Biography
0.023816185,Music
0.022829091,Animation
0.021524874,directors
0.015972823,Fantasy
0.015581576,War
0.01496862,Adventure
0.008254231,History
0.0,Documentary
0.0,Musical
0.0,Western
