title,year,ratingIMDB,votes,genresIMDB,sentiment_score_title,project_score,sentiment_score
10 things i hate about you,1999,6.9,62847.0,comedy romance,-0.9999855756759644,-1,-0.16469093382540828
1492: conquest of paradise,1992,6.2,10421.0,adventure biography drama history,-0.9999669790267944,-1,0.05469349289641661
15 minutes,2001,6.1,25854.0,action crime drama thriller,-0.9998724460601808,-1,-0.18338002693102362
2001: a space odyssey,1968,8.4,163227.0,adventure mystery sci-fi,-0.9971592426300048,-1,-0.030333000290043214
48 hrs.,1982,6.9,22289.0,action comedy crime drama thriller,-0.8668073415756226,-1,-0.1851416036693586
the fifth element,1997,7.5,133756.0,action adventure romance sci-fi thriller,-0.9977776408195496,-1,0.048204382164426345
8mm,1999,6.3,48212.0,crime mystery thriller,-0.9994258880615234,-1,-0.20039185140191054
a nightmare on elm street 4: the dream master,1988,5.2,13590.0,fantasy horror thriller,-0.9951475262641908,-1,-0.26874115482553257
a nightmare on elm street: the dream child,1989,4.7,11092.0,fantasy horror thriller,-0.9685505032539368,-1,-0.11576042923272825
the atomic submarine,1959,4.9,513.0,sci-fi thriller,-0.999824583530426,-1,-0.08367556839619043
affliction,1997,6.9,7252.0,drama mystery thriller,-0.9982119798660278,-1,-0.20108627079006952
air force one,1997,6.3,61978.0,action drama thriller,-0.9939159750938416,-1,-0.12819252746260684
airplane ii: the sequel,1982,5.8,15210.0,comedy romance sci-fi,-0.9964029788970948,-1,-0.06749079145234206
airplane!,1980,7.8,57692.0,comedy romance,-0.9980257749557496,-1,-0.011865906258846851
alien nation,1988,6.1,5590.0,crime drama sci-fi thriller,-0.9998810291290284,-1,-0.13939745728992572
aliens,1986,8.5,173518.0,action sci-fi thriller,-0.9607979655265808,-1,-0.10164336125498695
amadeus,1984,8.4,99138.0,biography drama music,0.6309290528297424,1,0.0009177855133655173
an american werewolf in london,1981,7.5,24443.0,horror romance,-0.9201975464820862,-1,-0.12030209812326002
american madness,1932,7.4,702.0,drama,-0.9943254590034484,-1,-0.03321246832340687
american outlaws,2001,5.7,7425.0,action western,-0.976787269115448,-1,-0.02230127316254836
american psycho,2000,7.4,101357.0,drama thriller,-0.9999154806137084,-1,-0.22423675993368739
antitrust,2001,6.0,16453.0,drama thriller,-0.9986261129379272,-1,-0.24347854193825844
austin powers: international man of mystery,1997,7.1,75240.0,action adventure comedy crime,0.9731439352035522,1,0.033799721328599965
the avengers,1998,3.4,21519.0,action adventure thriller,-0.9170261025428772,-1,-0.04110408008816731
bachelor party,1984,5.9,14050.0,comedy romance,0.6043320894241333,1,0.06747950335468636
backdraft,1991,6.6,28541.0,action crime drama mystery thriller,-0.9308850169181824,-1,-0.14374900785263225
bad lieutenant,1992,6.9,13908.0,crime drama,-0.9859159588813782,-1,-0.3188476287401639
bamboozled,2000,6.3,5995.0,comedy drama music,0.7286608219146729,1,0.019356707094709658
barry lyndon,1975,8.1,40622.0,drama romance war,-0.999767005443573,-1,0.08369918105131138
